,tave,tmin,tmax,heat_index,pr,wind_speed,rh,solar_rad,uv_rad,dentist_nearest,doctors_nearest,hospital_nearest,optician_nearest,pharmacy_nearest,pop_count_total,pop_density_mean,dentist_count,doctors_count,hospital_count,optician_count,pharmacy_count,case_total,tave-1.0,tave-2.0,tave-3.0,tmin-1.0,tmin-2.0,tmin-3.0,tmax-1.0,tmax-2.0,tmax-3.0,heat_index-1.0,heat_index-2.0,heat_index-3.0,pr-1.0,pr-2.0,pr-3.0,wind_speed-1.0,wind_speed-2.0,wind_speed-3.0,rh-1.0,rh-2.0,rh-3.0,solar_rad-1.0,solar_rad-2.0,solar_rad-3.0,uv_rad-1.0,uv_rad-2.0,uv_rad-3.0
174,28.07,26.266000000000002,30.502,32.006,5.082,3.3519999999999994,79.638,172.462,20.93,539.52,1049.26,807.06,1327.64,105.85,14198.84,37155.54,24.0,6.0,18.0,6.0,186.0,0.2,27.951666666666668,28.508,28.314,26.22,26.464,26.474,30.209999999999997,31.177999999999997,30.997999999999998,32.10166666666667,33.496,33.076,9.648333333333333,14.696000000000002,16.14,2.026666666666667,1.948,2.286,81.09833333333334,81.086,81.686,172.905,199.148,200.3,22.09,24.84,25.938
175,28.080000000000002,26.176,30.576,31.85,7.688000000000001,2.6279999999999997,78.842,170.618,20.822,9939.54,9939.38,9976.98,9998.3,651.87,20430.17,44626.74,0.0,0.0,0.0,0.0,18.0,0.0,27.798333333333332,28.136000000000003,27.924,26.021666666666665,26.038,25.892000000000003,30.113333333333333,30.73,30.456,31.716666666666665,32.762,32.275999999999996,10.791666666666666,13.26,16.419999999999998,1.6383333333333334,1.558,1.818,81.75833333333334,82.584,83.13199999999999,172.08833333333334,200.25,201.192,21.656666666666666,24.778,25.726
176,27.778,25.96,30.268,31.401999999999997,12.422,3.3939999999999997,80.26,173.526,20.984,892.3300000000002,1432.5,638.85,1025.65,204.64,52328.86,11463.46,54.0,18.0,48.0,36.0,210.0,0.6,27.683333333333334,28.254,28.060000000000002,25.913333333333338,26.169999999999998,26.172000000000004,30.05666666666667,31.026,30.854000000000003,31.506666666666664,32.884,32.480000000000004,9.035,15.012,12.447999999999999,2.0466666666666664,1.9240000000000002,2.25,81.63166666666667,81.556,82.21000000000001,174.8216666666667,200.656,202.866,22.258333333333336,24.95,26.154000000000003
177,27.268,25.606,29.630000000000003,30.139999999999997,3.218,3.2659999999999996,77.648,149.03799999999998,18.375999999999998,539.52,1049.26,807.06,1327.64,105.85,14198.84,37155.54,24.8,6.2,18.6,6.2,192.2,0.0,28.07,27.951666666666668,28.508,26.266000000000002,26.22,26.464,30.502,30.209999999999997,31.177999999999997,32.006,32.10166666666667,33.496,5.082,9.648333333333333,14.696000000000002,3.3519999999999994,2.026666666666667,1.948,79.638,81.09833333333334,81.086,172.462,172.905,199.148,20.93,22.09,24.84
178,27.244,25.568,29.51,29.868000000000002,2.322,3.064,75.96799999999999,153.58599999999998,18.688,9939.54,9939.38,9976.98,9998.3,651.87,20430.17,44626.74,0.0,0.0,0.0,0.0,18.6,0.2,28.080000000000002,27.798333333333332,28.136000000000003,26.176,26.021666666666665,26.038,30.576,30.113333333333333,30.73,31.85,31.716666666666665,32.762,7.688000000000001,10.791666666666666,13.26,2.6279999999999997,1.6383333333333334,1.558,78.842,81.75833333333334,82.584,170.618,172.08833333333334,200.25,20.822,21.656666666666666,24.778
179,26.977999999999998,25.32,29.372000000000003,29.615999999999996,9.831999999999999,3.3200000000000003,78.394,149.76399999999998,18.419999999999998,892.3300000000002,1432.5,638.85,1025.65,204.64,52328.86,11463.46,55.8,18.6,49.6,37.2,217.0,0.0,27.778,27.683333333333334,28.254,25.96,25.913333333333338,26.169999999999998,30.268,30.05666666666667,31.026,31.401999999999997,31.506666666666664,32.884,12.422,9.035,15.012,3.3939999999999997,2.0466666666666664,1.9240000000000002,80.26,81.63166666666667,81.556,173.526,174.8216666666667,200.656,20.984,22.258333333333336,24.95
180,26.571999999999996,24.8,29.186,28.556,0.744,3.3520000000000003,77.664,160.66199999999998,19.466,506.89,1049.26,807.06,1327.64,103.7,14523.15,37925.24,31.0,6.2,18.6,6.2,210.8,0.0,27.268,28.07,27.951666666666668,25.606,26.266000000000002,26.22,29.630000000000003,30.502,30.209999999999997,30.139999999999997,32.006,32.10166666666667,3.218,5.082,9.648333333333333,3.2659999999999996,3.3519999999999994,2.026666666666667,77.648,79.638,81.09833333333334,149.03799999999998,172.462,172.905,18.375999999999998,20.93,22.09
181,26.565999999999995,24.744,29.028,28.387999999999998,0.52,2.8120000000000003,75.998,161.98200000000003,19.490000000000002,9939.54,9939.38,9976.98,9998.3,394.18,20516.63,45109.39,0.0,0.0,0.0,0.0,24.8,0.0,27.244,28.080000000000002,27.798333333333332,25.568,26.176,26.021666666666665,29.51,30.576,30.113333333333333,29.868000000000002,31.85,31.716666666666665,2.322,7.688000000000001,10.791666666666666,3.064,2.6279999999999997,1.6383333333333334,75.96799999999999,78.842,81.75833333333334,153.58599999999998,170.618,172.08833333333334,18.688,20.822,21.656666666666666
182,26.304000000000002,24.514,28.962,28.151999999999997,0.774,3.3939999999999997,78.328,161.55599999999998,19.548000000000002,810.41,1432.5,638.87,1025.65,204.64,52533.68000000001,11539.56,55.8,12.4,68.2,37.2,217.0,0.2,26.977999999999998,27.778,27.683333333333334,25.32,25.96,25.913333333333338,29.372000000000003,30.268,30.05666666666667,29.615999999999996,31.401999999999997,31.506666666666664,9.831999999999999,12.422,9.035,3.3200000000000003,3.3939999999999997,2.0466666666666664,78.394,80.26,81.63166666666667,149.76399999999998,173.526,174.8216666666667,18.419999999999998,20.984,22.258333333333336
183,27.236,24.926,30.401999999999997,29.582,0.11800000000000002,2.914,75.422,203.398,24.428,506.89,1049.26,807.06,1327.64,103.7,14523.15,37925.24,28.0,5.6,16.8,5.6,190.4,0.2,26.571999999999996,27.268,28.07,24.8,25.606,26.266000000000002,29.186,29.630000000000003,30.502,28.556,30.139999999999997,32.006,0.744,3.218,5.082,3.3520000000000003,3.2659999999999996,3.3519999999999994,77.664,77.648,79.638,160.66199999999998,149.03799999999998,172.462,19.466,18.375999999999998,20.93
184,27.163999999999998,24.924,30.016,29.233999999999998,0.096,2.336,74.152,205.096,24.630000000000003,9939.54,9939.38,9976.98,9998.3,394.18,20516.63,45109.39,0.0,0.0,0.0,0.0,22.4,0.0,26.565999999999995,27.244,28.080000000000002,24.744,25.568,26.176,29.028,29.51,30.576,28.387999999999998,29.868000000000002,31.85,0.52,2.322,7.688000000000001,2.8120000000000003,3.064,2.6279999999999997,75.998,75.96799999999999,78.842,161.98200000000003,153.58599999999998,170.618,19.490000000000002,18.688,20.822
185,26.926,24.582,30.139999999999997,29.095999999999997,0.21600000000000003,2.936,76.046,204.448,24.491999999999997,810.41,1432.5,638.87,1025.65,204.64,52533.68000000001,11539.56,50.4,11.2,61.6,33.6,196.0,0.0,26.304000000000002,26.977999999999998,27.778,24.514,25.32,25.96,28.962,29.372000000000003,30.268,28.151999999999997,29.615999999999996,31.401999999999997,0.774,9.831999999999999,12.422,3.3939999999999997,3.3200000000000003,3.3939999999999997,78.328,78.394,80.26,161.55599999999998,149.76399999999998,173.526,19.548000000000002,18.419999999999998,20.984
186,28.162,25.556,31.754,30.704,0.352,3.4859999999999998,69.202,245.456,29.369999999999997,506.89,1049.26,807.06,1327.64,103.7,14523.15,37925.24,31.0,6.2,18.6,6.2,210.8,0.0,27.236,26.571999999999996,27.268,24.926,24.8,25.606,30.401999999999997,29.186,29.630000000000003,29.582,28.556,30.139999999999997,0.11800000000000002,0.744,3.218,2.914,3.3520000000000003,3.2659999999999996,75.422,77.664,77.648,203.398,160.66199999999998,149.03799999999998,24.428,19.466,18.375999999999998
187,27.688,25.316,30.77,29.645999999999997,0.466,2.616,67.862,246.112,29.418,9939.54,9939.38,9976.98,9998.3,394.18,20516.63,45109.39,0.0,0.0,0.0,0.0,24.8,0.0,27.163999999999998,26.565999999999995,27.244,24.924,24.744,25.568,30.016,29.028,29.51,29.233999999999998,28.387999999999998,29.868000000000002,0.096,0.52,2.322,2.336,2.8120000000000003,3.064,74.152,75.998,75.96799999999999,205.096,161.98200000000003,153.58599999999998,24.630000000000003,19.490000000000002,18.688
188,27.788,25.15,31.418,30.089999999999996,0.306,3.446,69.86,246.608,29.445999999999998,810.41,1432.5,638.87,1025.65,204.64,52533.68000000001,11539.56,55.8,12.4,68.2,37.2,217.0,0.0,26.926,26.304000000000002,26.977999999999998,24.582,24.514,25.32,30.139999999999997,28.962,29.372000000000003,29.095999999999997,28.151999999999997,29.615999999999996,0.21600000000000003,0.774,9.831999999999999,2.936,3.3939999999999997,3.3200000000000003,76.046,78.328,78.394,204.448,161.55599999999998,149.76399999999998,24.491999999999997,19.548000000000002,18.419999999999998
189,29.643333333333334,26.666666666666668,33.50333333333334,33.48666666666667,0.5083333333333333,3.1283333333333334,68.19166666666666,257.5933333333333,30.63,506.89000000000004,1049.26,807.06,1327.64,103.7,14523.15,37925.24,25.0,5.0,15.0,5.0,170.0,0.0,28.162,27.236,26.571999999999996,25.556,24.926,24.8,31.754,30.401999999999997,29.186,30.704,29.582,28.556,0.352,0.11800000000000002,0.744,3.4859999999999998,2.914,3.3520000000000003,69.202,75.422,77.664,245.456,203.398,160.66199999999998,29.369999999999997,24.428,19.466
190,29.245,26.576666666666668,32.684999999999995,32.428333333333335,0.3466666666666667,2.1216666666666666,67.06333333333333,258.915,30.746666666666666,9939.54,9939.38,9976.98,9998.3,394.18,20516.63,45109.38999999999,0.0,0.0,0.0,0.0,20.0,0.6666666666666666,27.688,27.163999999999998,26.565999999999995,25.316,24.924,24.744,30.77,30.016,29.028,29.645999999999997,29.233999999999998,28.387999999999998,0.466,0.096,0.52,2.616,2.336,2.8120000000000003,67.862,74.152,75.998,246.112,205.096,161.98200000000003,29.418,24.630000000000003,19.490000000000002
191,29.28333333333333,26.26,33.21,32.78666666666667,0.2916666666666667,3.1116666666666664,68.675,259.08,30.75,810.41,1432.5,638.87,1025.65,204.64,52533.68,11539.56,45.0,10.0,55.0,30.0,175.0,0.0,27.788,26.926,26.304000000000002,25.15,24.582,24.514,31.418,30.139999999999997,28.962,30.089999999999996,29.095999999999997,28.151999999999997,0.306,0.21600000000000003,0.774,3.446,2.936,3.3939999999999997,69.86,76.046,78.328,246.608,204.448,161.55599999999998,29.445999999999998,24.491999999999997,19.548000000000002
192,31.096000000000004,28.044,34.864,36.674,1.902,2.4379999999999997,67.424,261.778,31.762,506.89,1049.26,807.06,1327.64,103.7,14523.15,37925.24,31.0,6.2,18.6,6.2,210.8,0.0,29.643333333333334,28.162,27.236,26.666666666666668,25.556,24.926,33.50333333333334,31.754,30.401999999999997,33.48666666666667,30.704,29.582,0.5083333333333333,0.352,0.11800000000000002,3.1283333333333334,3.4859999999999998,2.914,68.19166666666666,69.202,75.422,257.5933333333333,245.456,203.398,30.63,29.369999999999997,24.428
193,30.374000000000002,27.660000000000004,33.842,35.052,2.43,1.424,67.78,261.25,31.824,9939.54,9939.38,9976.98,9998.3,394.18,20516.63,45109.39,0.0,0.0,0.0,0.0,24.8,0.0,29.245,27.688,27.163999999999998,26.576666666666668,25.316,24.924,32.684999999999995,30.77,30.016,32.428333333333335,29.645999999999997,29.233999999999998,0.3466666666666667,0.466,0.096,2.1216666666666666,2.616,2.336,67.06333333333333,67.862,74.152,258.915,246.112,205.096,30.746666666666666,29.418,24.630000000000003
