tave,tmin,tmax,heat_index,pr,wind_speed,rh,solar_rad,uv_rad,dentist_nearest,doctors_nearest,hospital_nearest,optician_nearest,pharmacy_nearest,pop_count_total,pop_density_mean,dentist_count,doctors_count,hospital_count,optician_count,pharmacy_count,case_total
29.21,26.02,33.40,33.05,0.57,2.98,71.37,249.16,30.85,1800.19,2208.15,675.96,1743.96,300.98,51784.80,11364.11,21.00,7.00,42.00,7.00,126.00,4.00
29.96,27.07,33.92,34.35,0.87,3.19,69.38,277.32,32.79,1461.16,10000.00,883.62,1327.64,153.05,13551.19,35729.54,7.00,0.00,14.00,7.00,126.00,1.00
29.14,26.54,32.48,32.54,0.96,2.38,69.48,273.48,32.62,10000.00,10000.00,10000.00,9998.30,949.48,20156.26,44536.11,0.00,0.00,0.00,0.00,7.00,3.00
29.57,26.64,33.60,33.56,1.09,3.16,69.80,278.54,32.87,1800.19,2208.15,675.96,1743.96,300.98,51784.80,11364.11,21.00,7.00,42.00,7.00,126.00,2.00
30.48,26.76,34.92,34.30,0.00,1.63,65.19,295.27,34.50,1461.16,10000.00,883.62,1327.64,153.05,13551.19,35729.54,4.00,0.00,8.00,4.00,72.00,4.00
29.53,26.45,33.07,32.80,0.00,0.91,67.14,284.00,33.50,10000.00,10000.00,10000.00,9998.30,949.48,20156.26,44536.11,0.00,0.00,0.00,0.00,4.00,2.00
30.10,26.25,34.70,33.50,0.00,1.63,65.13,296.77,34.63,1800.19,2208.15,675.96,1743.96,300.98,51784.80,11364.11,12.00,4.00,24.00,4.00,72.00,5.00
30.50,27.53,34.20,34.94,0.00,2.02,66.37,251.88,30.23,1461.16,10000.00,883.62,1327.64,153.05,13551.19,35729.54,3.00,0.00,6.00,3.00,54.00,0.00
29.78,27.13,33.17,33.60,1.97,1.08,67.43,250.71,30.76,10000.00,10000.00,10000.00,9998.30,949.48,20156.26,44536.11,0.00,0.00,0.00,0.00,3.00,0.00
30.10,27.03,33.95,34.14,1.43,2.01,66.88,253.47,30.31,1800.19,2208.15,675.96,1743.96,300.98,51784.80,11364.11,9.00,3.00,18.00,3.00,54.00,0.00
30.17,27.23,34.16,35.44,2.81,1.25,71.72,253.96,30.89,1461.16,10000.00,883.62,1327.64,153.05,13551.19,35729.54,7.00,0.00,14.00,7.00,126.00,0.00
28.87,25.99,32.22,32.94,2.90,0.83,74.81,252.89,30.71,10000.00,10000.00,10000.00,9998.30,949.48,20156.26,44536.11,0.00,0.00,0.00,0.00,7.00,6.00
29.79,26.83,33.85,34.58,2.17,1.23,72.07,255.43,30.99,1800.19,2208.15,675.96,1743.96,300.98,51784.80,11364.11,21.00,7.00,42.00,7.00,126.00,4.00
30.92,27.57,34.94,35.96,0.00,2.81,66.96,276.30,33.20,1461.16,10000.00,883.62,1327.64,153.05,13551.19,35729.54,7.00,0.00,14.00,7.00,126.00,1.00
29.76,26.88,33.21,33.81,0.00,1.79,69.10,272.82,32.97,10000.00,10000.00,10000.00,9998.30,949.48,20156.26,44536.11,0.00,0.00,0.00,0.00,7.00,5.00
30.49,27.11,34.59,35.05,0.00,2.75,67.30,278.29,33.30,1800.19,2208.15,675.96,1743.96,300.98,51784.80,11364.11,21.00,7.00,42.00,7.00,126.00,4.00
30.72,27.63,34.50,36.74,1.37,1.41,70.72,262.94,31.65,1461.16,10000.00,883.62,1327.64,153.05,13551.19,35729.54,7.00,0.00,14.00,7.00,126.00,1.00
29.42,26.46,32.50,33.92,0.74,1.62,72.37,266.32,31.76,10000.00,10000.00,10000.00,9998.30,949.48,20156.26,44536.11,0.00,0.00,0.00,0.00,7.00,3.00
30.33,27.15,34.23,35.79,0.71,1.36,70.99,264.28,31.76,1800.19,2208.15,675.96,1743.96,300.98,51784.80,11364.11,21.00,7.00,42.00,7.00,126.00,2.00
30.43,27.42,34.34,36.70,4.01,1.20,73.58,253.48,30.96,1461.16,10000.00,883.62,1327.64,153.05,13551.19,35729.54,7.00,0.00,14.00,7.00,126.00,3.00
29.20,26.24,32.29,33.97,5.78,0.95,75.33,255.28,31.30,10000.00,10000.00,10000.00,9998.30,949.48,20156.26,44536.11,0.00,0.00,0.00,0.00,7.00,2.00
30.03,27.00,33.98,35.77,3.18,1.17,74.08,255.31,31.08,1800.19,2208.15,675.96,1743.96,300.98,51784.80,11364.11,21.00,7.00,42.00,7.00,126.00,1.00
31.21,27.91,35.23,37.34,4.31,1.83,68.60,260.72,31.58,1461.16,10000.00,883.62,1327.64,153.05,13551.19,35729.54,7.00,0.00,14.00,7.00,126.00,2.00
29.82,26.68,33.44,34.71,5.82,1.02,71.89,257.08,31.48,10000.00,10000.00,10000.00,9998.30,949.48,20156.26,44536.11,0.00,0.00,0.00,0.00,7.00,5.00
30.71,27.42,34.76,36.28,5.43,1.81,69.43,262.52,31.67,1800.19,2208.15,675.96,1743.96,300.98,51784.80,11364.11,21.00,7.00,42.00,7.00,126.00,7.00
30.88,27.95,34.51,37.37,2.61,1.62,71.48,245.19,30.76,1461.16,10000.00,883.62,1327.64,153.05,13551.19,35729.54,7.00,0.00,14.00,7.00,126.00,0.00
29.58,26.64,32.76,34.92,2.16,0.81,75.05,244.17,30.25,10000.00,10000.00,10000.00,9998.30,949.48,20156.26,44536.11,0.00,0.00,0.00,0.00,7.00,6.00
30.38,27.50,34.07,36.32,1.56,1.62,72.38,247.05,30.92,1800.19,2208.15,675.96,1743.96,300.98,51784.80,11364.11,21.00,7.00,42.00,7.00,126.00,4.00
